Cluster number,HOUSEHOLD number,Number of HOUSEHOLD members,Number of eligible women in HH,Number of eligible men in HH,Number of de jure members,Number of de facto members,Number of children 5 and under,Region,Type of place of residence,Place of residence,Cluster altitude in meters,Source of drinking water,Time to get to water source,Type of toilet facility,Has electricity,Has radio,Has television,Has refrigerator,Main floor material,Main wall material,Main roof material,Rooms used for sleeping,Has a landline telephone,Share toilet with other households,Type of cooking fuel,Have bednet for sleeping,Anything done to water to make safe to drink,Water usually treated by: boil,Water usually treated by: add bleach/chlorine,Water usually treated by: strain through a cloth,Water usually treated by: use water filter,Water usually treated by: solar disinfection,Water usually treated by: let it stand and settle,Water usually treated by: other,Number of households sharing toilet,Wealth index,Wealth index factor score (5 decimals),Mainland/Zanzibar,Who provides water at main source,Paraffin lamp,Iron,Main source of energy for lighting,How far is the nearest market place (kilometers),How many meals per day,How far is the nearest health facility
18,62,3,1,0,3,3,1,Dodoma,Rural,Countryside,1071,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorer,-79000,Mainland rural, ,No,No,Paraffin-wick lamp,21,2,1
18,109,3,0,0,3,3,0,Dodoma,Rural,Countryside,1071,Protected public well,20,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-87000,Mainland rural, ,No,No,Other,21,2,1
18,133,6,1,0,5,6,1,Dodoma,Rural,Countryside,1071,Protected public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,3,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-95000,Mainland rural, ,No,No,Paraffin-wick lamp,23,2,4
18,156,1,0,0,1,1,0,Dodoma,Rural,Countryside,1071,Protected public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Poorest,-91000,Mainland rural, ,No,No,Paraffin-wick lamp,22,2,1
18,203,2,0,0,2,2,0,Dodoma,Rural,Countryside,1071,Protected public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Middle,-55000,Mainland rural, ,No,No,Paraffin-wick lamp,21,2,1
18,226,5,1,1,5,5,1,Dodoma,Rural,Countryside,1071,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,3,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Middle,-53000,Mainland rural, ,No,9,Paraffin-wick lamp,21,2,1
18,249,5,1,0,5,5,2,Dodoma,Rural,Countryside,1071,Protected public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-80000,Mainland rural, ,No,No,Paraffin-wick lamp,21,2,1
19,28,7,2,0,7,5,1,Arusha,Urban,Town,1344,Public tap/standpipe,240,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,1,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richer,20000,Mainland urban,Authority,Yes,Yes,Paraffin-hurricane lamp,150,3,1
19,35,7,0,3,7,7,1,Arusha,Urban,Town,1344,Public tap/standpipe,5,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Iron sheets,1,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,2,Richest,83000,Mainland urban,Authority,Yes,No,Paraffin-hurricane lamp,150,3,2
19,58,2,1,0,2,2,0,Arusha,Urban,Town,1344,Spring,120,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,2,No,Yes,Charcoal,No,Yes,Yes,No,No,No,No,No,No,5,Richest,89000,Mainland urban, ,Yes,Yes,Paraffin-hurricane lamp,55,3,2
